,Volt
0,0.0019097776202558
1,0.0013936108586877
2,0.0016095703252144
3,0.0025703542646904
4,0.0042681508443382
5,0.0066737998728498
6,0.0097375052872443
7,0.0133890506263976
8,0.0175387118475064
9,0.0220795177341386
10,0.026890556632492
11,0.0318418735162179
12,0.0367999971605943
13,0.0416326738114348
14,0.0462130751335468
15,0.0504236754128368
16,0.0541598714003729
17,0.057333745113529
18,0.0598774180350991
19,0.0617452975146963
20,0.0629149824294361
21,0.0633865583563756
22,0.0631807438481012
23,0.062336569157536
24,0.0609086399985409
25,0.0589642019546746
26,0.0565800105869541
27,0.0538387582676106
28,0.0508256903052595
29,0.0476259328394618
30,0.0443223243649664
31,0.0409937463695824
32,0.0377134958015916
33,0.0345470877363492
34,0.0315500600517546
35,0.0287663654798882
36,0.026227459965214
37,0.0239524438452385
38,0.0219489205607314
39,0.0202139404623762
40,0.0187353160555843
41,0.0174934365654387
42,0.016463346759696
43,0.0156171320953533
44,0.0149260523147314
45,0.0143617903779096
46,0.0138971552790991
47,0.0135065415501403
48,0.0131663219857789
49,0.0128555747982033
50,0.0125568391188454
51,0.0122564282209872
52,0.0119444781099994
53,0.0116147707423334
54,0.0112643793874792
55,0.0108934171156795
56,0.0105046082763307
57,0.0101023915606046
58,0.0096918309251504
59,0.0092775036847938
60,0.0088626224358802
61,0.0084487692065688
62,0.0080360036507157
63,0.0076230220218854
64,0.0072073839153477
65,0.0067856883737759
66,0.0063537570034218
67,0.0059070383412132
68,0.0054410135209679
69,0.0049514099394871
70,0.004434312369225
71,0.0038861584722766
72,0.0033037775210975
73,0.0026847060552662
74,0.0020276021117847
75,0.001332567479348
76,0.0006013444027294
77,-0.0001627333236495
78,-0.0009549452409231
79,-0.0017693573748942
80,-0.0025990494020003
81,-0.0034364431504872
82,-0.0042736755982519
83,-0.0051030415310335
84,-0.005917373539217
85,-0.006710197019257
86,-0.0074757514476706
87,-0.0082089624870273
88,-0.0089054036573644
89,-0.0095613468069184
90,-0.0101738400783044
91,-0.0107407040564594
92,-0.0112604962383425
93,-0.0117324642288677
94,-0.0121564850934937
95,-0.0125330417448225
96,-0.0128631744364479
97,-0.0131483330196494
98,-0.0133901878909023
99,-0.0135904415144502
100,-0.0137506777251248
101,-0.0138723166806375
102,-0.013956634480414
103,-0.0140047824422356
104,-0.014017819917679
105,-0.013996752194686
106,-0.0139425726839242
107,-0.0138563393903872
108,-0.0137392448127239
109,-0.0135926361554488
110,-0.0134180077139037
111,-0.0132169750897569
112,-0.0129912517819751
113,-0.0127426657971969
114,-0.0124731921326103
115,-0.0121849684732603
116,-0.0118802982130853
117,-0.0115616327620577
118,-0.0112315397641878
119,-0.0108926801284488
120,-0.0105477787572342
121,-0.0101995746061632
122,-0.0098507612810788
123,-0.0095039208883379
124,-0.0091614654530104
125,-0.0088256069545229
126,-0.0084983453628241
127,-0.008181461424033
128,-0.0078765129680551
129,-0.0075848268511371
130,-0.0073074912414957
131,-0.0070453596994754
132,-0.0067990606767874
133,-0.0065690073752584
134,-0.0063554090043367
135,-0.006158279773533
136,-0.0059774508230766
137,-0.0058125924046571
138,-0.0056632414841885
139,-0.0055288303726073
140,-0.0054087128522082
141,-0.0053021820804116
142,-0.0052084831150468
143,-0.0051268248187514
144,-0.0050563911600204
145,-0.004996353121231
146,-0.0049458792753337
147,-0.0049041414121248
148,-0.0048703169776306
149,-0.0048435897338385
150,-0.0048231494895557
151,-0.0048081931331586
152,-0.0047979245007031
153,-0.0047915508651567
154,-0.0047882782240245
155,-0.0047873065224764
156,-0.0047878284725481
157,-0.0047890359559973
158,-0.00479013051696
159,-0.0047903344551467
160,-0.0047889008284133
161,-0.0047851190493905
162,-0.0047783188782756
163,-0.0047678768678714
164,-0.0047532225934341
165,-0.0047338437881445
166,-0.0047092898272879
167,-0.0046791706940245
168,-0.0046431559960493
169,-0.0046009782335686
170,-0.0045524362470375
171,-0.0044973965638483
172,-0.0044357887993217
173,-0.0043675897281227
174,-0.0042928017120648
175,-0.0042114321265075
176,-0.0041234739724202
177,-0.0040288906951452
178,-0.0039276041191009
179,-0.0038194814210341
180,-0.0037043272604349
181,-0.0035818856033002
182,-0.0034518486113878
183,-0.0033138725249433
184,-0.0031675946397513
185,-0.0030126440110838
186,-0.0028486515140621
187,-0.0026752644900597
188,-0.0024921668553922
189,-0.002299108405213
190,-0.0020959379278752
191,-0.0018826318317604
192,-0.001659321011174
193,-0.0014263163435521
194,-0.0011841303046448
195,-0.0009334959067017
196,-0.0006753753660129
197,-0.0004109508372563
198,-0.0001416025233504
199,0.0001311214547861
200,0.000405539026769
201,0.0006798646084835
202,0.0009522402187436
203,0.001220773284399
204,0.0014835781484339
205,0.0017388207488863
206,0.0019847638097863
207,0.0022198063901076
208,0.0024425213853382
209,0.0026516942519207
210,0.0028463582892073
211,0.0030258240271827
212,0.0031896974194472
213,0.0033378801858264
214,0.0034705564257979
215,0.003588170976295
216,0.0036914011121187
217,0.0037811253038472
218,0.0038583885307568
219,0.0039243613541721
220,0.0039802958077838
221,0.0040274810484306
222,0.0040671998451671
223,0.0041006882224839
224,0.0041290982987386
225,0.0041534633985526
226,0.0041746666411144
227,0.0041934146998729
228,0.0042102185078765
229,0.0042253822365695
230,0.0042390019148121
231,0.0042509740737914
232,0.004261011225825
233,0.0042686625863407
234,0.004273340146851
235,0.0042743486881281
236,0.0042709242608568
237,0.0042622843172366
238,0.0042476818450777
239,0.0042264581594271
240,0.0041980887150484
241,0.0041622135266158
242,0.0041186596501891
243,0.0040674637480038
244,0.0040088880807653
245,0.0039434298258976
246,0.0038718205650047
247,0.0037950070843726
248,0.0037141292431182
249,0.0036305071044097
250,0.0035456248471497
251,0.0034611069054017
252,0.0033786723500567
253,0.0033000489210871
254,0.003226871349552
255,0.0031605890554466
256,0.00310238356471
257,0.0030531092523321
258,0.0030132497338689
259,0.0029828702131559
260,0.0029615959529631
261,0.0029486364358391
262,0.0029428396365852
263,0.0029427761073297
264,0.0029468191346331
265,0.00295318046252
266,0.0029599387218329
267,0.0029650924575076
268,0.0029666398215594
269,0.0029627082265417
270,0.0029517001264666
271,0.0029324026647127
272,0.0029040930816069
273,0.0028666517571016
274,0.0028206592829421
275,0.0027674841229422
276,0.0027093001742854
277,0.0026489708919391
278,0.0025898608370931
279,0.0025356250607127
280,0.0024900036278425
281,0.0024566825723139
282,0.0024391763910355
283,0.002440665358134
284,0.0024638434436853
285,0.0025107974927698
286,0.0025829144248276
287,0.0026808579041699
288,0.0028045317593801
289,0.0029529477007815
290,0.00312408488354
291,0.0033147989909273
292,0.0035208305940786
293,0.0037370038069867
294,0.0039575182231932
295,0.0041762093401551
296,0.0043868177519619
297,0.0045832498128851
298,0.0047598201340724
299,0.0049115333738027
300,0.0050342658176823
301,0.0051247240301675
302,0.0051802851091928
303,0.0051987775508806
304,0.0051783032917057
305,0.0051172571529742
306,0.0050144135377161
307,0.0048689312688326
308,0.0046803290054925
309,0.0044484015877374
310,0.0041731328807425
311,0.0038547478270996
312,0.0034937445477376
313,0.0030907837250086
314,0.0026465639547738
315,0.0021617248932604
316,0.0016369424711529
317,0.0010734278323959
318,0.0004736134517798
319,-0.0001582026410601
320,-0.0008152831711054
321,-0.0014880907961786
322,-0.0021640682159675
323,-0.0028273810936254
324,-0.0034588444003526
325,-0.0040361755302112
326,-0.0045344864088467
327,-0.0049270395694495
328,-0.0051860240661255
329,-0.0052830618077296
330,-0.0051896756430566
331,-0.0048779159737041
332,-0.004321198761737
333,-0.0034955283142375
334,-0.0023808699223077
335,-0.0009623265177293
336,0.0007687627360935
337,0.002813796479336
338,0.0051660527816999
339,0.0078099285754311
340,0.0107206115118756
341,0.0138645129427196
342,0.0172002128905861
343,0.0206797248240702
344,0.0242498790965864
345,0.0278534858350938
346,0.031430492323276
347,0.0349194249240618
348,0.0382589617272365
349,0.041389618639839
350,0.044255437102625
351,0.0468053877411817
352,0.0489947263150692
353,0.0507865069160552
354,0.0521529930875962
355,0.0530768381525171
356,0.0535517511508187
357,0.0535822784306712
358,0.0531829979092421
359,0.0523774779218915
360,0.0511970402603305
361,0.0496795299562476
362,0.0478680198346901
363,0.0458092185202555
364,0.0435518854989282
365,0.0411454850265812
366,0.0386390083219807
367,0.0360800350257068
368,0.0335138035922809
369,0.0309819885697964
370,0.0285214734122809
371,0.0261633864339075
372,0.0239324941629322
373,0.0218471712882271
374,0.019919755279924
375,0.0181569577563026
376,0.0165604502632042
377,0.0151276451193376
378,0.0138525829132056
379,0.0127269882355656
380,0.0117412094170036
381,0.0108847365915657
382,0.0101464711858696
383,0.0095148800596904
384,0.0089781463001306
385,0.0085245444584222
386,0.0081428688905369
387,0.0078226682485454
388,0.0075543715266648
389,0.0073293054728356
390,0.0071396325564071
391,0.0069783665847267
392,0.0068393056753264
393,0.0067167228559486
394,0.0066049654160617
395,0.0064980480608963
396,0.0063893772875997
397,0.0062718148777902
398,0.0061379374916536
399,0.0059803026729115
400,0.0057917360270664
401,0.0055655730315158
402,0.0052958761194972
403,0.0049777416703934
404,0.004607557051844
405,0.0041830834267599
406,0.0037034334659705
407,0.0031689557449779
408,0.00258112212174
409,0.0019425661079198
410,0.0012571665768519
411,0.0005300569181534
412,-0.0002324370747713
413,-0.001022983574079
414,-0.0018335059800219
415,-0.0026554042083122
416,-0.0034798024463521
417,-0.0042978708191771
418,-0.0051011645451048
419,-0.0058819746276532
420,-0.0066336038115873
421,-0.0073504554545647
422,-0.0080280061658651
423,-0.0086627391276621
424,-0.0092520527353517
425,-0.0097942035177639
426,-0.0102882546261888
427,-0.0107339607236276
428,-0.0111316449709682
429,-0.0114821067419984
430,-0.0117865445029611
431,-0.0120465138595689
432,-0.0122638730029696
433,-0.0124406509410078
434,-0.0125788896477925
435,-0.0126805074027167
436,-0.0127471996120289
437,-0.0127804194199434
438,-0.0127814088328004
439,-0.0127512253271695
440,-0.0126907858467597
441,-0.0126009355412041
442,-0.0124825275574254
443,-0.0123365253347073
444,-0.0121640880642054
445,-0.0119665931538025
446,-0.0117456216922645
447,-0.011502928781673
448,-0.0112404116869919
449,-0.0109601065474688
450,-0.0106641948511678
451,-0.0103549878280406
452,-0.0100349025018412
453,-0.0097064335965298
454,-0.0093721214188673
455,-0.0090345316667653
456,-0.0086962290360262
457,-0.0083597234676403
458,-0.0080274056472543
459,-0.0077014831723364
460,-0.0073839289117985
461,-0.007076461880071
462,-0.0067805486204289
463,-0.0064974064744206
464,-0.0062280121952505
465,-0.0059731127388248
466,-0.005733238674537
467,-0.0055087294539925
468,-0.0052997590302244
469,-0.0051063499280756
470,-0.0049283813228474
471,-0.0047655929140283
472,-0.0046175906877485
473,-0.0044838652146816
474,-0.0043638154161706
475,-0.0042567687188453
476,-0.0041619976530459
477,-0.0040787295928942
478,-0.0040061520797614
479,-0.0039434204957292
480,-0.0038896643930144
481,-0.0038439893466513
482,-0.0038054763591712
483,-0.0037731783357202
484,-0.0037461178249132
485,-0.0037232915612527
486,-0.0037036791864368
487,-0.0036862534256766
488,-0.0036699901721459
489,-0.0036538753681977
490,-0.0036369108690815
491,-0.0036181227256207
492,-0.0035965713178287
493,-0.00357136347496
494,-0.0035416652845385
495,-0.0035067129097701
496,-0.0034658226251712
497,-0.0034184010519506
498,-0.0033639548128129
499,-0.0033020997260034
500,-0.0032325670386376
501,-0.0031552041585441
502,-0.0030699713427029
503,-0.0029769355341119
504,-0.0028762631757933
505,-0.0027682144799021
506,-0.0026531370953021
507,-0.0025314569059549
508,-0.0024036661231693
509,-0.0022703078983662
510,-0.0021319594627246
511,-0.0019892169201007
512,-0.0018426803024309
513,-0.0016929383747511
514,-0.0015405544070504
515,-0.0013860526837138
516,-0.0012299092020988
517,-0.0010725499842
518,-0.0009143543471848
519,-0.0007556609810614
520,-0.0005967748515021
521,-0.0004379715286941
522,-0.0002795014802881
523,-0.000121597622977
524,3.5515654743581016e-05
525,0.0001916121783444
526,0.0003464535579889
527,0.0004997818129048
528,0.0006513118516065
529,0.0008007211311844
530,0.0009476397977901
531,0.0010916428567114
532,0.001232247905352
533,0.0013689231546275
534,0.0015011013373701
535,0.001628194592231
536,0.0017496103273355
537,0.001864765501471
538,0.0019731005205717
539,0.0020740964106159
540,0.0021672900395518
541,0.0022522835656352
542,0.0023287505606912
543,0.0023964385588904
544,0.0024551725465697
545,0.0025048654761133
546,0.0025455295714572
547,0.0025772826344238
548,0.0026003494083946
549,0.0026150545441993
550,0.0026218109121997
551,0.0026211104599586
552,0.0026135118385662
553,0.0025996215966809
554,0.0025800738562007
555,0.0025555088026699
556,0.0025265580650713
557,0.0024938468386817
558,0.002458003278332
559,0.0024196664531484
560,0.002379492420344
561,0.0023381519188013
562,0.0022963247345389
563,0.0022547007099575
564,0.0022139761779746
565,0.0021748392819828
